0,17444,amplitude,frequency (Hz)
1,4.380424715902343,4.380424715902343,1.2640449438202248
2,-265.4714762507422,265.4714762507422,2.5280898876404496
3,156.65822439502162,156.65822439502162,3.792134831460674
4,308.370636297794,308.370636297794,5.056179775280899
5,-459.38858097072836,459.38858097072836,6.320224719101123
6,338.12770283763314,338.12770283763314,7.584269662921348
7,461.65915929680654,461.65915929680654,8.848314606741573
8,289.36824306112277,289.36824306112277,10.112359550561798
9,491.22601169160185,491.22601169160185,11.376404494382022
10,-103.40402029910355,103.40402029910355,12.640449438202246
11,67.86631264250855,67.86631264250855,13.904494382022472
12,2.3308561991184678,2.3308561991184678,15.168539325842696
13,21.866923445748874,21.866923445748874,16.43258426966292
14,-40.14644979102979,40.14644979102979,17.696629213483146
15,-28.11027544070034,28.11027544070034,18.96067415730337
16,-1.6634524057962898,1.6634524057962898,20.224719101123597
17,13.681130587759906,13.681130587759906,21.48876404494382
18,0.8707722617638901,0.8707722617638901,22.752808988764045
19,28.579314318982732,28.579314318982732,24.01685393258427
20,30.44247249141798,30.44247249141798,25.280898876404493
21,33.6348698987701,33.6348698987701,26.54494382022472
22,7.210817556964024,7.210817556964024,27.808988764044944
23,29.373968424648343,29.373968424648343,29.073033707865168
24,-4.41938673851341,4.41938673851341,30.337078651685392
25,61.343535541585744,61.343535541585744,31.60112359550562
26,7.342787146200735,7.342787146200735,32.86516853932584
27,22.9110166547352,22.9110166547352,34.12921348314607
28,19.386158235511445,19.386158235511445,35.39325842696629
29,13.250821946020583,13.250821946020583,36.657303370786515
30,31.885259571294796,31.885259571294796,37.92134831460674
31,24.07986756203669,24.07986756203669,39.18539325842696
32,-0.7660298779598427,0.7660298779598427,40.449438202247194
33,26.673711409633547,26.673711409633547,41.71348314606742
34,-2.4437708240069003,2.4437708240069003,42.97752808988764
35,27.699974716967983,27.699974716967983,44.241573033707866
36,4.986848321925836,4.986848321925836,45.50561797752809
37,29.01463829098623,29.01463829098623,46.76966292134831
38,17.7392670402793,17.7392670402793,48.03370786516854
39,3.140474178541659,3.140474178541659,49.29775280898876
40,19.924913485984238,19.924913485984238,50.561797752808985
41,38.679410156265305,38.679410156265305,51.825842696629216
42,15.728415429797407,15.728415429797407,53.08988764044944
43,-22.267556879351712,22.267556879351712,54.353932584269664
44,-16.11176153827288,16.11176153827288,55.61797752808989
45,19.001068651615586,19.001068651615586,56.88202247191011
46,34.40229452606557,34.40229452606557,58.146067415730336
47,21.39850994397898,21.39850994397898,59.41011235955056
48,-20.089384049250658,20.089384049250658,60.674157303370784
49,14.950591724456558,14.950591724456558,61.938202247191015
50,32.055022803190546,32.055022803190546,63.20224719101124
51,2.1726052857625713,2.1726052857625713,64.46629213483146
52,-22.296501867198142,22.296501867198142,65.73033707865169
53,-19.197566624445262,19.197566624445262,66.99438202247191
54,-12.588706312994054,12.588706312994054,68.25842696629213
55,-7.104563941166617,7.104563941166617,69.52247191011236
56,-2.194927921333445,2.194927921333445,70.78651685393258
57,32.02522641470202,32.02522641470202,72.0505617977528
58,42.91464643018132,42.91464643018132,73.31460674157303
59,-9.711375955366378,9.711375955366378,74.57865168539325
60,-18.92250287296462,18.92250287296462,75.84269662921348
61,16.267578829152583,16.267578829152583,77.1067415730337
62,-14.059005524009859,14.059005524009859,78.37078651685393
63,25.102246224850237,25.102246224850237,79.63483146067416
64,13.87235642934725,13.87235642934725,80.89887640449439
65,29.22879976196346,29.22879976196346,82.16292134831461
66,39.6461602481421,39.6461602481421,83.42696629213484
67,-17.250752219337468,17.250752219337468,84.69101123595506
68,21.316052314533984,21.316052314533984,85.95505617977528
69,-11.30246840962645,11.30246840962645,87.21910112359551
70,29.305085218749284,29.305085218749284,88.48314606741573
71,-1.5092232786736384,1.5092232786736384,89.74719101123596
72,-37.73638780805145,37.73638780805145,91.01123595505618
73,104.90066142637038,104.90066142637038,92.2752808988764
74,-88.01920078540272,88.01920078540272,93.53932584269663
75,239.23502688456395,239.23502688456395,94.80337078651685
76,-131.30973888054115,131.30973888054115,96.06741573033707
77,151.57241823022972,151.57241823022972,97.3314606741573
78,-40.83800095230584,40.83800095230584,98.59550561797752
79,-99.02698956574037,99.02698956574037,99.85955056179775
80,294.77507829655076,294.77507829655076,101.12359550561797
81,-153.57345754547296,153.57345754547296,102.38764044943821
82,334.29929132803863,334.29929132803863,103.65168539325843
83,-636.2602777364584,636.2602777364584,104.91573033707866
84,329.318108430404,329.318108430404,106.17977528089888
85,697.8914557369068,697.8914557369068,107.4438202247191
86,-151.4586434870386,151.4586434870386,108.70786516853933
87,-594.6405704619904,594.6405704619904,109.97191011235955
88,-774.6818867325653,774.6818867325653,111.23595505617978
89,2058.8644961570576,2058.8644961570576,112.5
90,356.310552636746,356.310552636746,113.76404494382022
91,-2349.1831250021864,2349.1831250021864,115.02808988764045
92,831.9797623072459,831.9797623072459,116.29213483146067
93,714.2827447709968,714.2827447709968,117.5561797752809
94,-132.76220121539274,132.76220121539274,118.82022471910112
95,673.544364226447,673.544364226447,120.08426966292134
96,-794.7861160528895,794.7861160528895,121.34831460674157
97,-553.3097257999947,553.3097257999947,122.61235955056179
98,622.3615551411499,622.3615551411499,123.87640449438203
99,504.61588305284437,504.61588305284437,125.14044943820225
100,351.6611358927501,351.6611358927501,126.40449438202248
101,-240.43634318422008,240.43634318422008,127.6685393258427
102,-576.5644314099986,576.5644314099986,128.93258426966293
103,-220.18258652257438,220.18258652257438,130.19662921348313
104,317.98224257738633,317.98224257738633,131.46067415730337
105,612.4486689296899,612.4486689296899,132.72471910112358
106,368.01770003674625,368.01770003674625,133.98876404494382
107,-216.3997972277197,216.3997972277197,135.25280898876406
108,-540.3929450667523,540.3929450667523,136.51685393258427
109,-424.94692164163325,424.94692164163325,137.7808988764045
110,84.99576446367479,84.99576446367479,139.04494382022472
111,578.1342672947289,578.1342672947289,140.30898876404495
112,462.2286971467838,462.2286971467838,141.57303370786516
113,25.320199496032437,25.320199496032437,142.8370786516854
114,-560.8748474050085,560.8748474050085,144.1011235955056
115,-909.2687905239252,909.2687905239252,145.36516853932585
116,-617.4999992948639,617.4999992948639,146.62921348314606
117,-70.0936366292282,70.0936366292282,147.8932584269663
118,523.6547279354038,523.6547279354038,149.1573033707865
119,704.6230932735368,704.6230932735368,150.42134831460675
120,263.80664889128195,263.80664889128195,151.68539325842696
121,-414.88147225996045,414.88147225996045,152.9494382022472
122,-1104.1258754077596,1104.1258754077596,154.2134831460674
123,-1606.561716614752,1606.561716614752,155.47752808988764
124,-1638.1434981925047,1638.1434981925047,156.74157303370785
125,-1166.163588617397,1166.163588617397,158.0056179775281
126,-589.622429388198,589.622429388198,159.26966292134833
127,-54.38384673625516,54.38384673625516,160.53370786516854
128,427.4876249503633,427.4876249503633,161.79775280898878
129,755.3728915885863,755.3728915885863,163.06179775280899
130,885.6813162371405,885.6813162371405,164.32584269662922
131,696.8356581260311,696.8356581260311,165.58988764044943
132,480.6807815053643,480.6807815053643,166.85393258426967
133,450.6623237023867,450.6623237023867,168.11797752808988
134,424.12332845365916,424.12332845365916,169.38202247191012
135,305.3477318433936,305.3477318433936,170.64606741573033
136,165.7159513813349,165.7159513813349,171.91011235955057
137,75.59352870178336,75.59352870178336,173.17415730337078
138,159.98737603152458,159.98737603152458,174.43820224719101
139,164.33511576616775,164.33511576616775,175.70224719101122
140,-39.17115864725565,39.17115864725565,176.96629213483146
141,-61.44647058962597,61.44647058962597,178.23033707865167
142,15.794524007604517,15.794524007604517,179.4943820224719
143,43.037564164921356,43.037564164921356,180.75842696629215
144,104.74102785406308,104.74102785406308,182.02247191011236
145,6.70533071660467,6.70533071660467,183.2865168539326
146,15.567287650999846,15.567287650999846,184.5505617977528
147,18.156960586116195,18.156960586116195,185.81460674157304
148,-57.530891934057664,57.530891934057664,187.07865168539325
149,53.13198788590665,53.13198788590665,188.3426966292135
150,18.181064453180568,18.181064453180568,189.6067415730337
151,-9.328660961792409,9.328660961792409,190.87078651685394
152,-68.61446789314897,68.61446789314897,192.13483146067415
153,-55.13173204805723,55.13173204805723,193.3988764044944
154,-21.487772219667566,21.487772219667566,194.6629213483146
155,-49.8819625295779,49.8819625295779,195.92696629213484
156,74.78265070737581,74.78265070737581,197.19101123595505
157,-153.1023071851501,153.1023071851501,198.45505617977528
158,72.89187860034947,72.89187860034947,199.7191011235955
159,-78.75275814951888,78.75275814951888,200.98314606741573
160,-44.89045977181701,44.89045977181701,202.24719101123594
161,42.57619356871187,42.57619356871187,203.51123595505618
162,-192.50820511802831,192.50820511802831,204.77528089887642
163,81.87839097989252,81.87839097989252,206.03932584269663
164,-137.13736057959503,137.13736057959503,207.30337078651687
165,-71.70445690073828,71.70445690073828,208.56741573033707
166,22.668461519598832,22.668461519598832,209.8314606741573
167,-127.07204715879185,127.07204715879185,211.09550561797752
168,119.96746504605798,119.96746504605798,212.35955056179776
169,18.373802251629222,18.373802251629222,213.62359550561797
170,97.64330887426416,97.64330887426416,214.8876404494382
171,-158.13370989144448,158.13370989144448,216.15168539325842
172,-397.58098150181047,397.58098150181047,217.41573033707866
173,282.8345171041322,282.8345171041322,218.67977528089887
174,174.702014806464,174.702014806464,219.9438202247191
175,-169.3031523392807,169.3031523392807,221.2078651685393
176,-260.9132426003358,260.9132426003358,222.47191011235955
177,110.15135687257141,110.15135687257141,223.73595505617976
178,732.749935506129,732.749935506129,225.0
179,-387.43901097275966,387.43901097275966,226.26404494382024
180,-623.8120021242739,623.8120021242739,227.52808988764045
181,471.8009639783402,471.8009639783402,228.7921348314607
182,131.84048811637348,131.84048811637348,230.0561797752809
183,-143.50054647392272,143.50054647392272,231.32022471910113
184,179.1929019757171,179.1929019757171,232.58426966292134
185,-273.82524576785494,273.82524576785494,233.84831460674158
186,-111.49516554740516,111.49516554740516,235.1123595505618
187,512.0401674859835,512.0401674859835,236.37640449438203
188,3.1089200724422428,3.1089200724422428,237.64044943820224
189,-279.2547374647187,279.2547374647187,238.90449438202248
190,-144.52989786734238,144.52989786734238,240.1685393258427
191,-65.61717669138764,65.61717669138764,241.43258426966293
192,221.09785939673645,221.09785939673645,242.69662921348313
193,283.8792642967308,283.8792642967308,243.96067415730337
194,-19.908544070381705,19.908544070381705,245.22471910112358
195,-201.29535840380683,201.29535840380683,246.48876404494382
196,-115.41584775877539,115.41584775877539,247.75280898876406
197,107.66779121926179,107.66779121926179,249.01685393258427
198,145.09917013883273,145.09917013883273,250.2808988764045
199,60.89483848577426,60.89483848577426,251.54494382022472
200,-145.85957851630945,145.85957851630945,252.80898876404495
201,-255.01781206801382,255.01781206801382,254.07303370786516
202,-5.9044763592640415,5.9044763592640415,255.3370786516854
203,215.46471086794836,215.46471086794836,256.6011235955056
204,194.05079399686292,194.05079399686292,257.86516853932585
205,61.42588624873711,61.42588624873711,259.1292134831461
206,-166.68539652140035,166.68539652140035,260.39325842696627
