0,63938,amplitude,frequency (Hz)
1,4.607011642688135,4.607011642688135,0.3448653382964747
2,-1.0476675277133563,1.0476675277133563,0.6897306765929494
3,7.184715926603226,7.184715926603226,1.0345960148894242
4,10.033265613968979,10.033265613968979,1.3794613531858988
5,3.6474930069883973,3.6474930069883973,1.7243266914823736
6,-6.3507396189207155,6.3507396189207155,2.0691920297788484
7,8.552057016349924,8.552057016349924,2.414057368075323
8,11.721494978259754,11.721494978259754,2.7589227063717976
9,4.958403535149698,4.958403535149698,3.1037880446682724
10,0.3408640491362317,0.3408640491362317,3.448653382964747
11,-25.427446929801203,25.427446929801203,3.793518721261222
12,-24.714466997350947,24.714466997350947,4.138384059557697
13,-48.51479941186807,48.51479941186807,4.483249397854172
14,-3.3071661447884946,3.3071661447884946,4.828114736150646
15,-4.692734171258338,4.692734171258338,5.17298007444712
16,-23.667933085037024,23.667933085037024,5.517845412743595
17,0.16352444209301795,0.16352444209301795,5.86271075104007
18,-11.455374140079098,11.455374140079098,6.207576089336545
19,29.457733700035824,29.457733700035824,6.55244142763302
20,-10.805417128930735,10.805417128930735,6.897306765929494
21,-9.293324447044645,9.293324447044645,7.242172104225969
22,31.587266883640297,31.587266883640297,7.587037442522444
23,-30.709011071885318,30.709011071885318,7.931902780818918
24,-13.437239724327865,13.437239724327865,8.276768119115394
25,0.3799191116579681,0.3799191116579681,8.621633457411868
26,-15.22356023000563,15.22356023000563,8.966498795708343
27,1.7904966752015634,1.7904966752015634,9.311364134004817
28,12.329842837167414,12.329842837167414,9.656229472301291
29,3.5670861974119314,3.5670861974119314,10.001094810597767
30,1.6926536926559719,1.6926536926559719,10.34596014889424
31,5.259085607133768,5.259085607133768,10.690825487190716
32,-2.0991499914834657,2.0991499914834657,11.03569082548719
33,-4.201790892233627,4.201790892233627,11.380556163783666
34,-3.6092792512061926,3.6092792512061926,11.72542150208014
35,3.739799267955619,3.739799267955619,12.070286840376616
36,5.607438169822619,5.607438169822619,12.41515217867309
37,-8.008238070821601,8.008238070821601,12.760017516969564
38,9.933104127221833,9.933104127221833,13.10488285526604
39,-14.353373224297249,14.353373224297249,13.449748193562513
40,-0.9552689170538925,0.9552689170538925,13.794613531858989
41,-6.462625170337813,6.462625170337813,14.139478870155463
