0,1100,amplitude,frequency (Hz)
1,285.20770639867027,285.20770639867027,20.045454545454547
2,684.341941526506,684.341941526506,40.09090909090909
3,44.66285365850775,44.66285365850775,60.13636363636363
4,358.80549848787194,358.80549848787194,80.18181818181819
5,-236.7738757303764,236.7738757303764,100.22727272727273
6,357.56957189231866,357.56957189231866,120.27272727272727
7,-1031.092376562799,1031.092376562799,140.3181818181818
8,7252.4739678905025,7252.4739678905025,160.36363636363637
9,1413.8795944811036,1413.8795944811036,180.4090909090909
10,21.069275407133958,21.069275407133958,200.45454545454547
11,687.7326251685163,687.7326251685163,220.5
12,167.59924906664406,167.59924906664406,240.54545454545453
13,405.0086252569672,405.0086252569672,260.59090909090907
14,403.7867793373597,403.7867793373597,280.6363636363636
15,1113.7906384534567,1113.7906384534567,300.6818181818182
16,3358.3506288378157,3358.3506288378157,320.72727272727275
17,-1105.3200969569255,1105.3200969569255,340.77272727272725
18,-38.187562377122205,38.187562377122205,360.8181818181818
19,-132.44730869238748,132.44730869238748,380.8636363636364
20,-471.31838535555096,471.31838535555096,400.90909090909093
21,384.458311961385,384.458311961385,420.95454545454544
22,-482.672468431466,482.672468431466,441.0
23,1124.1732765905488,1124.1732765905488,461.04545454545456
24,-1475.9542784385244,1475.9542784385244,481.09090909090907
25,-2008.8386018283786,2008.8386018283786,501.1363636363636
26,138.3190398646309,138.3190398646309,521.1818181818181
27,-992.3961255347604,992.3961255347604,541.2272727272727
28,296.7509052058902,296.7509052058902,561.2727272727273
29,-555.3209688035131,555.3209688035131,581.3181818181819
30,163.0313529630362,163.0313529630362,601.3636363636364
31,-1413.8736393086128,1413.8736393086128,621.4090909090909
32,1741.4371287237398,1741.4371287237398,641.4545454545455
33,1256.3067217863256,1256.3067217863256,661.5
34,-35.86674214703083,35.86674214703083,681.5454545454545
35,353.7495002797594,353.7495002797594,701.5909090909091
36,-39.08790217777985,39.08790217777985,721.6363636363636
37,-49.577143138604995,49.577143138604995,741.6818181818181
38,192.25178524530597,192.25178524530597,761.7272727272727
39,107.67603471662407,107.67603471662407,781.7727272727273
40,-640.173082042848,640.173082042848,801.8181818181819
41,-53.04980256661707,53.04980256661707,821.8636363636364
42,129.01669640214047,129.01669640214047,841.9090909090909
43,-71.1567366841095,71.1567366841095,861.9545454545455
44,6.358602403334588,6.358602403334588,882.0
45,124.35965403639143,124.35965403639143,902.0454545454545
46,-159.58424362173443,159.58424362173443,922.0909090909091
47,84.9200481513256,84.9200481513256,942.1363636363636
48,-532.8883936334441,532.8883936334441,962.1818181818181
49,121.5111729818326,121.5111729818326,982.2272727272727
50,185.03412443515725,185.03412443515725,1002.2727272727273
51,19.464841638215077,19.464841638215077,1022.3181818181819
52,238.2452189134074,238.2452189134074,1042.3636363636363
53,51.225297899021264,51.225297899021264,1062.409090909091
54,190.56479539124186,190.56479539124186,1082.4545454545455
55,-157.16805420247465,157.16805420247465,1102.5
56,527.8932738555998,527.8932738555998,1122.5454545454545
57,853.7124440310163,853.7124440310163,1142.590909090909
58,-358.9633481439398,358.9633481439398,1162.6363636363637
59,131.3991156596094,131.3991156596094,1182.6818181818182
60,70.57013471338084,70.57013471338084,1202.7272727272727
61,-231.89725044361305,231.89725044361305,1222.7727272727273
62,114.8068979075875,114.8068979075875,1242.8181818181818
63,-4.913015990270649,4.913015990270649,1262.8636363636363
64,158.8824827416054,158.8824827416054,1282.909090909091
65,-727.1764111316118,727.1764111316118,1302.9545454545455
66,-292.86300327824785,292.86300327824785,1323.0
67,168.20408101394233,168.20408101394233,1343.0454545454545
68,-554.5485125123163,554.5485125123163,1363.090909090909
69,30.54242573291641,30.54242573291641,1383.1363636363637
70,-279.9306117949783,279.9306117949783,1403.1818181818182
71,-58.403467778286085,58.403467778286085,1423.2272727272727
72,-656.0063283695368,656.0063283695368,1443.2727272727273
