Start Name,Start Num
Massachusetts Ave & Dupont Circle NW,31200
15th & P St NW,31201
14th & R St NW,31202
14th & Rhode Island Ave NW,31203
20th & E St NW,31204
21st & I St NW,31205
19th & E Street NW,31206
Georgia Ave and Fairmont St NW,31207
M St & New Jersey Ave SE,31208
1st & N St  SE,31209
Kennedy Center,31211
21st & M St NW,31212
17th & K St NW,31213
17th & Corcoran St NW,31214
Georgetown Harbor / 30th St NW,31215
14th St & New York Ave NW,31216
USDA / 12th & C St SW,31217
L'Enfant Plaza / 7th & C St SW,31218
10th St & Constitution Ave NW,31219
US Dept of State / Virginia Ave & 21st St NW,31220
18th & M St NW,31221
New York Ave & 15th St NW,31222
Convention Center / 7th & M St NW,31223
19th & L St NW,31224
18th & L St NW,31224
C & O Canal & Wisconsin Ave NW,31225
34th St & Wisconsin Ave NW,31226
13th St & New York Ave NW,31227
8th & H St NW,31228
New Hampshire Ave & T St NW,31229
Metro Center / 12th & G St NW,31230
14th & D St NW / Ronald Reagan Building,31231
7th & F St NW / National Portrait Gallery,31232
17th & K St NW / Farragut Square,31233
20th & O St NW / Dupont South,31234
19th St & Constitution Ave NW,31235
37th & O St NW / Georgetown University,31236
25th St & Pennsylvania Ave NW,31237
14th & G St NW,31238
Rhode Island & Connecticut Ave NW,31239
Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240
Thomas Circle,31241
18th St & Pennsylvania Ave NW,31242
4th & C St SW,31243
4th & E St SW,31244
7th & R St NW / Shaw Library,31245
M St & Pennsylvania Ave NW,31246
Jefferson Dr & 14th St SW,31247
Smithsonian-National Mall / Jefferson Dr & 12th St SW,31248
Jefferson Memorial,31249
20th & L St NW,31250
12th & L St NW,31251
21st St & Pennsylvania Ave NW,31252
19th & K St NW,31253
15th & K St NW,31254
24th & N St NW,31255
10th & E St NW,31256
22nd & I St NW / Foggy Bottom,31257
Lincoln Memorial,31258
20th St & Virginia Ave NW,31259
23rd & E St NW ,31260
21st St & Constitution Ave NW,31261
11th & F St NW,31262
10th & K St NW,31263
6th St & Indiana Ave NW,31264
5th St & Massachusetts Ave NW,31265
11th & M St NW,31266
17th St & Massachusetts Ave NW,31267
12th & U St NW,31268
3rd St & Pennsylvania Ave SE,31269
8th & D St NW,31270
Constitution Ave & 2nd St NW/DOL,31271
Washington & Independence Ave SW/HHS,31272
Hains Point/Buckeye & Ohio Dr SW,31273
10th & G St NW,31274
New Hampshire Ave & 24th St NW,31275
15th & L St NW,31276
17th & G St NW,31277
18th & R St NW,31278
19th & G St NW,31279
11th & S St NW,31280
8th & O St NW,31281
16th & R St NW,31282
14th & L St NW,31283
18th & C St NW,31284
22nd & P ST NW,31285
11th & O St NW,31286
10th St & L'Enfant Plaza SW,31287
4th St & Madison Dr NW,31288
Henry Bacon Dr & Lincoln Memorial Circle NW,31289
17th St & Independence Ave SW,31290
Vermont Ave & I St NW,31291
22nd St & Constitution Ave NW,31292
31st & Water St NW,31293
7th & E St SW,31294
Potomac & M St NW,31295
Columbia & Ontario Rd NW,31296
Virginia Ave & 25th St NW,31297
15th & M St NW,31298
Connecticut Ave & R St NW,31299
Van Ness Metro / UDC,31300
Ward Circle / American University,31301
Wisconsin Ave & Newark St NW,31302
Tenleytown / Wisconsin Ave & Albemarle St NW,31303
36th & Calvert St NW / Glover Park,31304
Connecticut Ave & Newark St NW / Cleveland Park,31305
39th & Calvert St NW / Stoddert,31306
3000 Connecticut Ave NW / National Zoo,31307
39th & Veazey St NW,31308
Fessenden St & Wisconsin Ave NW,31309
Connecticut & Nebraska Ave NW,31310
Wisconsin Ave & O St NW,31312
Connecticut Ave & Tilden St NW,31313
34th & Water St NW,31314
Connecticut Ave & McKinley St NW,31315
McKinley St & Connecticut Ave NW,31315
Yuma St & Tenley Circle NW,31316
Wisconsin Ave & Ingomar St NW,31317
Connecticut Ave & Yuma St NW,31318
Wisconsin Ave & Brandywine St NW,31319
American University East Campus,31320
Nebraska Ave/AU East Campus,31320
15th St & Constitution Ave NW,31321
48th Pl & MacArthur Blvd NW,31322
Woodley Park Metro / Calvert St & Connecticut Ave NW,31323
18th & New Hampshire Ave NW,31324
Georgia & New Hampshire Ave NW,31400
14th St & Spring Rd NW,31401
14th St Heights / 14th & Crittenden St NW,31402
5th & Kennedy St NW,31403
9th & Upshur St NW,31404
Georgia Ave & Emerson St NW,31405
14th & Upshur St NW,31406
14th St & Colorado Ave NW,31407
Takoma Metro,31408
Georgia & Missouri Ave NW,31411
3rd St & Riggs Rd NE,31412
3rd & Underwood St NW,31413
Georgia Ave & Piney Branch Rd NW,31414
Georgia Ave & Kennedy St NW,31415
14th & Luzon St NW,31416
Kansas Ave & Sherman Cr NW,31417
New Hampshire & Gallatin St NW,31418
Georgia Ave & Morton St NW,31419
17th & Upshur St NW,31420
4th & W St NE,31500
12th & Newton St NE,31501
John McCormack Dr & Michigan Ave NE,31502
Florida Ave & R St NW,31503
10th & Monroe St NE,31504
Eckington Pl & Q St NE,31505
1st & Rhode Island Ave NW,31506
1st & Washington Hospital Center NW,31507
Gallaudet / 8th St & Florida Ave NE,31508
New Jersey Ave & R St NW,31509
18th St & Rhode Island Ave NE,31510
12th & Irving St NE,31511
Neal St & Trinidad Ave NE,31512
Rhode Island Ave & V St NE,31513
Hamlin & 7th St NE,31514
Fort Totten Metro,31515
Rhode Island Ave Metro,31516
Union Market,31517
Union Market/6th St & Neal Pl NE,31517
New York Ave & Hecht Ave NE,31518
1st & O St NW,31519
24th & R St NE / National Arboretum,31520
18th & Monroe St NE,31521
2nd St & Seaton Pl NE,31522
Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,31523
Montello Ave & Holbrook Terr NE,31524
Trinidad Rec Center,31525
Rhode Island Ave & Montana Ave NE,31526
Rhode Island & Montana Ave NE,31526
North Capitol & R St NE,31527
John McCormack Rd NE,31528
Edgewood Rec Center,31529
5th & K St NW,31600
19th & East Capitol St SE,31601
Park Rd & Holmead Pl NW,31602
1st & M St NE,31603
3rd & H St NW,31604
3rd & D St SE,31605
Potomac & Pennsylvania Ave SE,31606
13th & E St SE,31607
8th & Eye St SE / Barracks Row,31608
Maine Ave & 7th St SW,31609
Eastern Market / 7th & North Carolina Ave SE,31610
13th & H St NE,31611
D St & Maryland Ave NE,31612
