Start Name,Start Num
22nd & H  NW (disabled),0.0
Eads St & 15th St S,31000.0
18th St & S Eads St,31001.0
Crystal Dr & 20th St S,31002.0
Crystal Dr & 15th St S,31003.0
Aurora Hills Cmty Ctr / 18th St & S Hayes St,31004.0
Pentagon City Metro / 12th St & S Hayes St,31005.0
Army Navy Dr & S Joyce St,31006.0
Crystal City Metro / 18th St & S Bell St,31007.0
Crystal Dr & 27th St S,31009.0
S Glebe Rd & Potomac Ave,31010.0
Crystal Dr & 23rd St S,31011.0
Clark St & 26th St S,31012.0
Eads St & 22nd St S,31013.0
Lynn St & 19th St North,31014.0
Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015.0
Clarendon Blvd & Pierce St,31016.0
Wilson Blvd & N Uhle St,31017.0
Rhodes St & 16th St N,31018.0
Wilson Blvd & N Edgewood St,31019.0
Wilson Blvd & N Franklin Rd,31020.0
Clarendon Blvd & N Fillmore St,31021.0
Clarendon Metro / Wilson Blvd & N Highland St,31022.0
Fairfax Dr & Wilson Blvd,31023.0
Virginia Square Metro / Monroe St & 9th St N,31024.0
Central Library / Quincy St & 10th St N,31025.0
Washington Blvd & 10th St N,31026.0
Key Blvd & N Quinn St,31027.0
N Veitch St & Key Blvd,31028.0
N Veitch St & 20th St N,31029.0
Lee Hwy & N Adams St,31030.0
15th St & N Scott St,31031.0
Washington Blvd & 7th St N,31032.0
Barcroft Community Center,31033.0
Fairfax Dr & N Randolph St,31034.0
N Quincy St & Glebe Rd,31035.0
George Mason Dr & Wilson Blvd,31036.0
Ballston Metro / Stuart St & 9th St N,31037.0
Glebe Rd & 11th St N,31038.0
Wilson Blvd & N Quincy St,31039.0
GMU / Fairfax Dr & Kenmore St,31040.0
Prince St & Union St,31041.0
Market Square / King St & Royal St,31042.0
Saint Asaph St & Pendleton  St,31043.0
N Pitt & Wythe St,31043.0
St Asaph & Pendleton St,31043.0
King St & Patrick St,31044.0
Commerce St & Fayette St,31045.0
Henry St & Pendleton St,31046.0
Braddock Rd Metro,31047.0
King St Metro South,31048.0
Utah St & 11th St N,31049.0
Barton St & 10th St N,31050.0
Arlington Blvd & N Queen St,31051.0
Potomac Ave & 35th St S,31052.0
Columbia Pike & S Courthouse Rd,31053.0
Walter Reed Dr & 16th St S,31054.0
Wakefield High School,31054.0
28th St & S Meade St,31055.0
Troy St & 26th St S,31056.0
Four Mile Run Dr & S Shirlington Rd,31057.0
Columbia Pike & S Oakland St,31058.0
Four Mile Run Dr & S Walter Reed Dr,31059.0
S Arlington Mill Dr & Campbell Ave,31060.0
Kenmore St & 24th St S,31061.0
Roosevelt Island,31062.0
S George Mason & Four Mile Run Dr,31063.0
Gravelly Point,31064.0
Pershing Dr & Wayne St,31065.0
Columbia Pike & S Orme St,31066.0
Columbia Pike & S Walter Reed Dr,31067.0
Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,31068.0
Pershing Dr & N George Mason Dr,31069.0
Arlington Blvd & Fillmore St,31070.0
Eads St & 12th St S,31071.0
31st St & S Woodrow St,31072.0
Washington Blvd & Walter Reed Dr ,31073.0
TJ Cmty Ctr / 2nd St & S Old Glebe Rd,31074.0
Rolfe St & 9th St S,31075.0
Shirlington Transit Center / Quincy St & Randolph St,31076.0
Iwo Jima Memorial / Meade & 14th St N,31077.0
Arlington Blvd & S George Mason Dr,31078.0
Lee Hwy & N Cleveland St,31079.0
Lee Hwy & N Scott St,31080.0
Duke St & John Carlyle St,31081.0
Eisenhower Ave & Mill Race Ln,31082.0
Potomac Greens Dr & Slaters Ln,31083.0
Ballenger Ave & Dulaney St,31084.0
Mount Vernon Ave & E Nelson Ave,31085.0
Mount Vernon Ave & E Del Ray Ave,31086.0
Monroe Ave & Leslie Ave,31087.0
Mount Vernon Ave & Kennedy St,31088.0
Court House Metro / 15th St & N Uhle St,31089.0
Long Bridge Park / Long Bridge Dr & 6th St S,31090.0
Joyce St & 16th St S,31091.0
Lee Hwy & N Monroe St,31092.0
21st St & N Pierce St,31093.0
Lee Hwy & N Kirkwood Rd,31094.0
Army Navy Dr & S Nash St,31095.0
Walter Reed Dr & 8th St S,31096.0
Saint Asaph St & Madison St,31097.0
King St Metro North / Cameron St,31098.0
Madison St & N Henry St,31099.0
19th St & Pennsylvania Ave NW,31100.0
14th & V St NW,31101.0
11th & Kenyon St NW,31102.0
16th & Harvard St NW,31103.0
Adams Mill & Columbia Rd NW,31104.0
14th & Harvard St NW,31105.0
Calvert & Biltmore St NW,31106.0
Lamont & Mt Pleasant NW,31107.0
4th & M St SW,31108.0
7th & T St NW,31109.0
20th St & Florida Ave NW,31110.0
10th & U St NW,31111.0
Harvard St & Adams Mill Rd NW,31112.0
Columbia Rd & Belmont St NW,31113.0
18th St & Wyoming Ave NW,31114.0
Columbia Rd & Georgia Ave NW,31115.0
California St & Florida Ave NW,31116.0
15th & Euclid St  NW,31117.0
3rd & Elm St NW,31118.0
14th & Belmont St NW,31119.0
10th & Florida Ave NW,31120.0
Calvert St & Woodley Pl NW,31121.0
16th & Irving St NW,31122.0
14th & Girard St NW,31123.0
14th & Irving St NW,31124.0
15th & W St NW,31125.0
11th & Girard St NW,31126.0
22nd & H St NW,31127.0
23rd & M St NW,31128.0
